t[s],x[m],y[m],v[m/s],ax[m/s^2],ay[m/s^2], az[m/s^2],roll[rad],pitch[rad],yaw[rad],gy_x[rad/sec],gy_y[rad/sec],gy_z[rad/sec],_,_,_,latitude,longitude,
68734,,,,0.017,-0.005,0.031,0.010888324,-0.093051258,-0.000262548,-0.01,0,-0.005555556,,,,,,
68735,,,,0,-0.024,0.03,0.010643436,-0.093173286,-0.000251797,-0.013333333,0.001111111,-0.001111111,,,,,,
68736,,,,0.005,-0.035,0.042,0.010276034,-0.09317342,-0.000234668,-0.013333333,-0.002222222,-0.002222222,,,,,,
68737,,,,0.015,-0.023,0.036,0.010153567,-0.093173463,-0.000228959,-0.006666667,-0.001111111,0,,,,,,
68738,,,,-0.001,-0.032,0.034,0.009908631,-0.093173548,-0.00021754,-0.004444444,0,0.003333333,,,,,,
68739,,,,-0.005,-0.042,0.04,0.009541228,-0.093173669,-0.000200412,-0.004444444,0.001111111,0.002222222,,,,,,
68740,,,,0.004,-0.042,0.041,0.009173823,-0.093173784,-0.000183283,0.002222222,0,0.001111111,,,,,,
68741,,,,0.011,-0.015,0.029,0.009051355,-0.09317382,-0.000177574,0.006666667,0,0,,,,,,
68742,,,,-0.01,-0.002,0.024,0.008928887,-0.093173857,-0.000171864,0.004444444,0.004444444,0,,,,,,
68743,,,,-0.011,-0.013,0.041,0.008806419,-0.093173892,-0.000166155,0.005555556,-0.001111111,0,,,,,,
68744,,,,0.003,-0.014,0.053,0.008806383,-0.093051955,-0.000165615,0.006666667,-0.004444444,0.002222222,,,,,,
68744,-4.32E-06,9.19E-07,0.007,,,,,,,,,,,,,,,
68744,,,,,,,,,,,,,,,,31.2656055,34.72935283,
68745,,,,0.004,0,0.012,0.008683916,-0.093051989,-0.000159913,0.007777778,0,0.004444444,,,,,,
68746,,,,-0.009,0,0.026,0.008683916,-0.093051989,-0.000159913,0.006666667,0.001111111,0.006666667,,,,,,
68747,,,,-0.002,-0.009,0.046,0.008683916,-0.093051989,-0.000159913,0.007777778,-0.003333333,0.005555556,,,,,,
68748,,,,0.013,0.022,0.025,0.008806383,-0.093051955,-0.000165615,0.01,-0.002222222,0.002222222,,,,,,
68749,,,,0.002,0.022,0.016,0.008928851,-0.093051919,-0.000171317,0.006666667,0,0.001111111,,,,,,
68750,,,,-0.006,0.013,0.016,0.008928851,-0.093051919,-0.000171317,0.002222222,0.002222222,0,,,,,,
68751,,,,-0.003,-0.007,0.038,0.008928851,-0.093051919,-0.000171317,0,-0.004444444,0.002222222,,,,,,
68752,,,,0.014,0,0.03,0.008928851,-0.093051919,-0.000171317,0.002222222,-0.001111111,0.008888889,,,,,,
68753,,,,0.006,0.001,0.025,0.008928851,-0.093051919,-0.000171317,0.004444444,0.001111111,0.006666667,,,,,,
68754,,,,-0.002,-0.005,0.037,0.008928851,-0.093051919,-0.000171317,0.004444444,0,0.003333333,,,,,,
68755,,,,0.014,0.005,0.032,0.008928851,-0.093051919,-0.000171317,0.008888889,-0.004444444,0.002222222,,,,,,
68756,,,,0.011,0.022,0.014,0.009173786,-0.093051846,-0.000182721,0.012222222,0,0,,,,,,
68757,,,,0.001,0.024,0.016,0.009173786,-0.093051846,-0.000182721,0.006666667,0.005555556,0,,,,,,
68758,,,,-0.005,0.015,0.031,0.009296253,-0.093051809,-0.000188423,0.007777778,-0.002222222,0,,,,,,
68759,,,,0.011,0.021,0.03,0.009418721,-0.093051771,-0.000194125,0.008888889,-0.003333333,0.003333333,,,,,,
68760,,,,0.011,0.031,0.016,0.009541228,-0.093173669,-0.000200412,0.006666667,0.002222222,0.003333333,,,,,,
68761,,,,0,0.034,0.022,0.009786163,-0.093173589,-0.000211831,0.004444444,0.004444444,0.004444444,,,,,,
68762,,,,-0.001,0.011,0.046,0.009908631,-0.093173548,-0.00021754,0.004444444,0,0,,,,,,
68763,,,,0.003,0.034,0.041,0.010031099,-0.093173506,-0.000223249,0.003333333,0,0,,,,,,
68764,-4.32E-06,9.35E-07,0.004,,,,,,,,,,,,,,,
68764,,,,,,,,,,,,,,,,31.2656055,34.729353,
68764,-4.32E-06,9.35E-07,0.004,,,,,,,,,,,,,,,
68764,,,,,,,,,,,,,,,,31.2656055,34.729353,
68764,,,,-0.001,0.045,0.026,0.010398502,-0.093173376,-0.000240378,0,0.005555556,0,,,,,,
68765,,,,-0.019,0.026,0.025,0.010643391,-0.09305135,-0.000251144,-0.006666667,0.002222222,-0.001111111,,,,,,
68766,,,,-0.005,0.015,0.042,0.010888277,-0.092929321,-0.00026188,-0.006666667,-0.004444444,0,,,,,,
68767,,,,0.008,0.025,0.034,0.011010742,-0.092929273,-0.000267575,-0.008888889,-0.002222222,0.001111111,,,,,,
68768,,,,-0.001,0.025,0.022,0.011255673,-0.092929177,-0.000278963,-0.008888889,0,0.003333333,,,,,,
68769,,,,-0.01,-0.007,0.045,0.011138846,-0.092806608,-0.000395051,-0.01,-0.002222222,0.001111111,,,,,,
68770,,,,0.002,-0.003,0.039,0.011138846,-0.092806608,-0.000395051,-0.008888889,-0.008888889,-0.001111111,,,,,,
68771,,,,0.008,0.014,0.028,0.011138846,-0.092806608,-0.000395051,-0.008888889,-0.002222222,0,,,,,,
68772,,,,-0.007,0.012,0.025,0.011138846,-0.092806608,-0.000395051,-0.011111111,-0.002222222,0,,,,,,
68773,,,,-0.003,-0.01,0.044,0.010893916,-0.092806718,-0.000383678,-0.016666667,-0.007777778,0,,,,,,
68774,-4.32E-06,9.35E-07,0.008,,,,,,,,,,,,,,,
68774,,,,,,,,,,,,,,,,31.2656055,34.729353,
68774,,,,0.011,-0.012,0.052,0.010771505,-0.09292871,-0.000378652,-0.014444444,-0.011111111,0.001111111,,,,,,
68775,,,,0.017,-0.007,0.025,0.010649039,-0.092928763,-0.000372958,-0.011111111,-0.007777778,0.004444444,,,,,,
68776,,,,0,-0.018,0.033,0.010526573,-0.092928816,-0.000367263,-0.013333333,-0.001111111,0.002222222,,,,,,
68777,,,,0.003,-0.031,0.048,0.010281641,-0.092928919,-0.000355875,-0.01,-0.004444444,0,,,,,,
68778,,,,0.017,-0.016,0.044,0.010159225,-0.093050907,-0.000350803,-0.006666667,-0.003333333,0.002222222,,,,,,
68779,,,,0.012,-0.004,0.015,0.010036759,-0.093050956,-0.000345102,-0.005555556,0,-0.002222222,,,,,,
68780,,,,0,-0.012,0.019,0.010036759,-0.093050956,-0.000345102,-0.008888889,0,-0.001111111,,,,,,
68781,,,,0.002,-0.034,0.043,0.009914292,-0.093051006,-0.0003394,-0.008888889,-0.003333333,0,,,,,,
68782,,,,0.014,-0.017,0.028,0.009791824,-0.093051054,-0.000333698,-0.003333333,0,0.004444444,,,,,,
68783,,,,0.004,-0.021,0.033,0.009669405,-0.093173039,-0.000328589,0,0,0.001111111,,,,,,
68784,-4.32E-06,9.50E-07,0.023499999,,,,,,,,,,,,,,,
68784,,,,,,,,,,,,,,,,31.2656055,34.72935317,
68784,,,,-0.002,-0.032,0.044,0.00941876,-0.093173708,-0.000194702,-0.001111111,0,0.002222222,,,,,,
68785,,,,0.005,-0.037,0.043,0.009173823,-0.093173784,-0.000183283,0.003333333,-0.001111111,-0.001111111,,,,,,
68786,,,,0.008,-0.008,0.021,0.009051355,-0.09317382,-0.000177574,0.006666667,0.002222222,-0.002222222,,,,,,
68787,,,,-0.007,-0.002,0.014,0.009051355,-0.09317382,-0.000177574,0.004444444,0.008888889,0,,,,,,
68788,,,,-0.018,-0.01,0.029,0.008928851,-0.093051919,-0.000171317,0.004444444,0,0,,,,,,
68789,,,,0.009,-0.009,0.035,0.008928851,-0.093051919,-0.000171317,0.007777778,-0.005555556,0,,,,,,
68790,,,,0.01,-0.003,0.016,0.008928851,-0.093051919,-0.000171317,0.007777778,0,0.002222222,,,,,,
68791,,,,0.002,-0.005,0.025,0.008928851,-0.093051919,-0.000171317,0.006666667,-0.001111111,0.004444444,,,,,,
68792,,,,0,-0.012,0.039,0.008928851,-0.093051919,-0.000171317,0.008888889,-0.005555556,0.001111111,,,,,,
68793,,,,0.016,0.003,0.038,0.009051319,-0.093051883,-0.000177019,0.012222222,-0.003333333,0,,,,,,
68794,-4.32E-06,9.50E-07,0.005,,,,,,,,,,,,,,,
68794,,,,,,,,,,,,,,,,31.2656055,34.72935317,
68794,,,,0.008,0.014,0.024,0.009173786,-0.093051846,-0.000182721,0.011111111,0.001111111,-0.001111111,,,,,,
68795,,,,-0.004,0.016,0.013,0.009173786,-0.093051846,-0.000182721,0.006666667,0.001111111,-0.002222222,,,,,,
68796,,,,0.011,-0.003,0.043,0.009173786,-0.093051846,-0.000182721,0.004444444,-0.002222222,0,,,,,,
68797,,,,0.016,0.01,0.027,0.009173823,-0.093173784,-0.000183283,0.005555556,0,0.004444444,,,,,,
68798,,,,0.013,0.01,0.029,0.009173823,-0.093173784,-0.000183283,0.006666667,0.001111111,0.004444444,,,,,,
68799,,,,-0.003,-0.01,0.042,0.009173823,-0.093173784,-0.000183283,0.005555556,0.001111111,0.002222222,,,,,,
68800,,,,0.007,0,0.035,0.009173823,-0.093173784,-0.000183283,0.008888889,-0.001111111,0,,,,,,
68801,,,,0.008,0.019,0.026,0.009296292,-0.093173746,-0.000188993,0.011111111,0.002222222,0,,,,,,
68802,,,,-0.001,0.034,0.015,0.009541228,-0.093173669,-0.000200412,0.01,0.001111111,-0.001111111,,,,,,
68803,,,,-0.006,0.006,0.046,0.009663696,-0.093173629,-0.000206121,0.005555556,0,0,,,,,,
68803,-4.32E-06,9.50E-07,0.0275,,,,,,,,,,,,,,,
68803,,,,,,,,,,,,,,,,31.2656055,34.72935317,
68804,,,,0.003,0.018,0.04,0.009663696,-0.093173629,-0.000206121,0.003333333,-0.002222222,0.003333333,,,,,,
68805,,,,0.006,0.027,0.014,0.009786163,-0.093173589,-0.000211831,0.005555556,0.001111111,0.006666667,,,,,,
68806,,,,-0.012,0.011,0.035,0.009908631,-0.093173548,-0.00021754,0.002222222,0.001111111,0.003333333,,,,,,
68807,,,,-0.005,0,0.045,0.00990859,-0.093051611,-0.000216933,0.002222222,-0.003333333,0.002222222,,,,,,
68808,,,,0.007,0.02,0.048,0.010031057,-0.093051569,-0.000222635,0.002222222,-0.002222222,0,,,,,,
68809,,,,0.008,0.035,0.029,0.010153524,-0.093051527,-0.000228337,0.002222222,0.002222222,0.001111111,,,,,,
68810,,,,-0.015,0.029,0.019,0.010398457,-0.09305144,-0.00023974,0,0.001111111,0,,,,,,
68811,,,,-0.006,0.009,0.037,0.010404107,-0.092928867,-0.000361569,-0.004444444,-0.002222222,0,,,,,,
68812,,,,0.006,0.024,0.029,0.010649039,-0.092928763,-0.000372958,-0.002222222,-0.004444444,0.003333333,,,,,,
68813,,,,0.002,0.015,0.026,0.010649039,-0.092928763,-0.000372958,-0.004444444,-0.003333333,0.003333333,,,,,,
68814,,,,-0.002,0.004,0.036,0.010771505,-0.09292871,-0.000378652,-0.007777778,-0.001111111,0.004444444,,,,,,
68814,-4.32E-06,9.66E-07,0.005,,,,,,,,,,,,,,,
68814,,,,,,,,,,,,,,,,31.2656055,34.72935333,
68814,-4.32E-06,9.66E-07,0.005,,,,,,,,,,,,,,,
68814,,,,,,,,,,,,,,,,31.2656055,34.72935333,
68815,,,,0.006,-0.005,0.039,0.010771505,-0.09292871,-0.000378652,-0.005555556,-0.003333333,0.001111111,,,,,,
68816,,,,0.005,0.026,0.018,0.010771505,-0.09292871,-0.000378652,-0.006666667,0.003333333,0,,,,,,
68817,,,,-0.008,0.023,0.017,0.010893971,-0.092928656,-0.000384346,-0.007777778,0.006666667,0.001111111,,,,,,
68818,,,,-0.013,-0.002,0.041,0.010771505,-0.09292871,-0.000378652,-0.011111111,-0.002222222,0,,,,,,
68819,,,,0.003,-0.006,0.051,0.010771505,-0.09292871,-0.000378652,-0.008888889,-0.004444444,0.002222222,,,,,,
68820,,,,0.005,0.006,0.017,0.010649039,-0.092928763,-0.000372958,-0.01,0,0.003333333,,,,,,
68821,,,,-0.002,0.001,0.026,0.010648986,-0.092806825,-0.000372304,-0.011111111,0.001111111,0.004444444,,,,,,
68822,,,,-0.005,-0.011,0.038,0.010526521,-0.092806878,-0.000366618,-0.01,-0.002222222,0.003333333,,,,,,
68823,,,,0.007,0.002,0.034,0.010526521,-0.092806878,-0.000366618,-0.005555556,-0.002222222,0.003333333,,,,,,
68824,,,,-0.003,0.011,0.019,0.010526521,-0.092806878,-0.000366618,-0.005555556,0,0,,,,,,
68825,,,,-0.013,0.007,0.023,0.010404056,-0.092806929,-0.000360931,-0.011111111,0,0,,,,,,
68826,,,,-0.012,-0.012,0.039,0.01028159,-0.092806981,-0.000355244,-0.011111111,-0.003333333,0,,,,,,
68827,,,,0.011,0,0.03,0.01028159,-0.092806981,-0.000355244,-0.008888889,-0.006666667,0.001111111,,,,,,
68828,,,,0.007,-0.006,0.027,0.01028159,-0.092806981,-0.000355244,-0.008888889,-0.002222222,0.002222222,,,,,,
68829,,,,-0.001,-0.012,0.036,0.010159125,-0.092807031,-0.000349557,-0.012222222,-0.002222222,0.005555556,,,,,,
68830,,,,0.015,-0.025,0.04,0.009914194,-0.09280713,-0.000338184,-0.01,-0.007777778,0.003333333,,,,,,
68831,,,,0.016,-0.011,0.022,0.009791728,-0.092807178,-0.000332497,-0.002222222,-0.001111111,0,,,,,,
68832,,,,0.006,-0.008,0.019,0.009791728,-0.092807178,-0.000332497,-0.002222222,0,0,,,,,,
68833,,,,0.002,-0.031,0.045,0.00966931,-0.092929164,-0.000327403,-0.004444444,0,-0.003333333,,,,,,
68834,,,,0.014,-0.017,0.041,0.009546843,-0.092929211,-0.000321709,-0.002222222,-0.008888889,0,,,,,,
68835,-4.32E-06,9.66E-07,0.024,,,,,,,,,,,,,,,
68835,,,,,,,,,,,,,,,,31.2656055,34.72935333,
68835,-4.32E-06,9.66E-07,0.024,,,,,,,,,,,,,,,
68835,,,,,,,,,,,,,,,,31.2656055,34.72935333,
68835,,,,0.02,-0.013,0.015,0.009424423,-0.093051195,-0.000316592,0.001111111,-0.003333333,0.003333333,,,,,,
68836,,,,0.01,-0.013,0.017,0.009301955,-0.093051241,-0.00031089,0,-0.001111111,0.002222222,,,,,,
68837,,,,0.009,-0.035,0.055,0.009179533,-0.093173223,-0.000305751,0,-0.003333333,0.001111111,,,,,,
68838,,,,0.018,-0.014,0.048,0.008934596,-0.093173311,-0.000294333,0.006666667,0,0,,,,,,
68839,,,,0.011,0.001,0.027,0.00893464,-0.093295248,-0.00029488,0.008888889,0.002222222,0,,,,,,
68840,,,,-0.007,-0.003,0.024,0.00893464,-0.093295248,-0.00029488,0.003333333,0.002222222,-0.001111111,,,,,,
68841,,,,0.003,-0.008,0.041,0.00893464,-0.093295248,-0.00029488,0.001111111,-0.001111111,-0.003333333,,,,,,
68842,,,,0.017,-0.003,0.038,0.00893464,-0.093295248,-0.00029488,0.003333333,0,0.002222222,,,,,,
68843,,,,0,-0.005,0.034,0.008812171,-0.093295291,-0.000289164,0,0.002222222,0.001111111,,,,,,
68844,-4.32E-06,9.66E-07,0.004,,,,,,,,,,,,,,,
68844,,,,,,,,,,,,,,,,31.2656055,34.72935333,
68844,,,,-0.004,-0.019,0.047,0.008812171,-0.093295291,-0.000289164,0.002222222,0,0.002222222,,,,,,
68845,,,,0.006,-0.023,0.045,0.008689702,-0.093295334,-0.000283447,0.003333333,-0.002222222,0.001111111,,,,,,
68846,,,,0.014,-0.002,0.03,0.008689702,-0.093295334,-0.000283447,0.008888889,0.002222222,0,,,,,,
68847,,,,-0.006,0.004,0.029,0.008689702,-0.093295334,-0.000283447,0.005555556,0.004444444,-0.001111111,,,,,,
68848,,,,-0.006,-0.01,0.042,0.008689702,-0.093295334,-0.000283447,0.005555556,-0.002222222,-0.002222222,,,,,,
68849,,,,0.005,-0.01,0.048,0.008683985,-0.093295864,-0.000160977,0.007777778,-0.003333333,0,,,,,,
68850,,,,0.004,0.001,0.011,0.008806454,-0.093295829,-0.000166694,0.01,0,0,,,,,,
68851,,,,-0.005,-0.001,0.025,0.008683985,-0.093295864,-0.000160977,0.006666667,0.001111111,0,,,,,,
68852,,,,-0.002,-0.012,0.049,0.008806454,-0.093295829,-0.000166694,0.011111111,0,0.001111111,,,,,,
68853,,,,0.01,-0.001,0.05,0.008928923,-0.093295793,-0.000172411,0.014444444,0,0.001111111,,,,,,
68854,,,,0.003,0.029,0.02,0.009173861,-0.09329572,-0.000183846,0.013333333,0.003333333,-0.002222222,,,,,,
68854,-4.32E-06,9.66E-07,0.017000001,,,,,,,,,,,,,,,
68854,,,,,,,,,,,,,,,,31.2656055,34.72935333,
68855,,,,-0.012,0.027,0.017,0.009296292,-0.093173746,-0.000188993,0.008888889,0.006666667,-0.001111111,,,,,,
68856,,,,-0.013,0.012,0.031,0.009296292,-0.093173746,-0.000188993,0.006666667,0,0,,,,,,
68857,,,,0.006,0.034,0.028,0.009296292,-0.093173746,-0.000188993,0.007777778,-0.002222222,0.002222222,,,,,,
68858,,,,-0.001,0.037,0.025,0.009296292,-0.093173746,-0.000188993,0.005555556,0.002222222,0.003333333,,,,,,
68859,,,,-0.009,0.023,0.042,0.009296292,-0.093173746,-0.000188993,0.002222222,-0.001111111,0.002222222,,,,,,
68860,,,,0.008,0.02,0.034,0.009541228,-0.093173669,-0.000200412,0,-0.003333333,0.003333333,,,,,,
68861,,,,0.007,0.037,0.021,0.009791873,-0.093172991,-0.000334298,0.003333333,0.002222222,0,,,,,,
68862,,,,-0.006,0.038,0.022,0.010036808,-0.093172893,-0.000345717,0,0.004444444,-0.002222222,,,,,,
68863,,,,-0.017,0.025,0.033,0.010404159,-0.093050805,-0.000362207,-0.002222222,-0.003333333,0,,,,,,
68864,,,,0.004,0.023,0.029,0.010526573,-0.092928816,-0.000367263,-0.003333333,-0.005555556,0.002222222,,,,,,
68865,,,,0.004,0.023,0.011,0.010771505,-0.09292871,-0.000378652,-0.004444444,-0.003333333,0.004444444,,,,,,
68866,,,,-0.002,0.014,0.014,0.010893971,-0.092928656,-0.000384346,-0.006666667,0,0.005555556,,,,,,
68867,,,,0.002,-0.007,0.053,0.010893971,-0.092928656,-0.000384346,-0.006666667,-0.004444444,0.003333333,,,,,,
68868,,,,0.01,0.008,0.038,0.010893971,-0.092928656,-0.000384346,-0.001111111,-0.003333333,0.002222222,,,,,,
68869,,,,0.007,0.015,0.026,0.010893971,-0.092928656,-0.000384346,-0.003333333,0,0,,,,,,
68870,,,,-0.006,0.023,0.013,0.011016436,-0.092928601,-0.00039004,-0.006666667,0.001111111,0,,,,,,
68871,,,,0.004,-0.001,0.035,0.010893971,-0.092928656,-0.000384346,-0.01,-0.003333333,0,,,,,,
68872,,,,0.013,0.013,0.03,0.010893971,-0.092928656,-0.000384346,-0.004444444,-0.003333333,0.002222222,,,,,,
68873,,,,0.008,0.01,0.021,0.011016436,-0.092928601,-0.00039004,-0.007777778,0,0.003333333,,,,,,
68874,-4.32E-06,9.82E-07,0.0115,,,,,,,,,,,,,,,
68874,,,,,,,,,,,,,,,,31.2656055,34.7293535,
68874,,,,0,-0.013,0.048,0.010893971,-0.092928656,-0.000384346,-0.011111111,-0.001111111,0.002222222,,,,,,
68874,-4.32E-06,9.82E-07,0.0115,,,,,,,,,,,,,,,
68874,,,,,,,,,,,,,,,,31.2656055,34.7293535,
68875,,,,0.012,-0.008,0.038,0.010893971,-0.092928656,-0.000384346,-0.006666667,-0.005555556,0.002222222,,,,,,
68876,,,,0.016,0.01,0.027,0.010894025,-0.093050593,-0.000385014,-0.004444444,0,0,,,,,,
68877,,,,-0.004,0.011,0.027,0.010894025,-0.093050593,-0.000385014,-0.006666667,0.001111111,0,,,,,,
68878,,,,-0.006,-0.01,0.041,0.010771559,-0.093050647,-0.000379312,-0.01,0,0,,,,,,
68879,,,,0.005,-0.009,0.046,0.010649092,-0.0930507,-0.000373611,-0.011111111,-0.002222222,0.001111111,,,,,,
68880,,,,0.009,-0.002,0.016,0.010526626,-0.093050753,-0.000367909,-0.01,0,0.004444444,,,,,,
68881,,,,-0.003,-0.015,0.035,0.010404159,-0.093050805,-0.000362207,-0.01,-0.001111111,0.002222222,,,,,,
68882,,,,0.001,-0.03,0.052,0.010281692,-0.093050856,-0.000356505,-0.008888889,-0.005555556,0.001111111,,,,,,
68883,,,,0.014,-0.017,0.045,0.010159225,-0.093050907,-0.000350803,-0.004444444,-0.003333333,0,,,,,,
68884,-4.32E-06,9.82E-07,0.0185,,,,,,,,,,,,,,,
68884,,,,,,,,,,,,,,,,31.2656055,34.7293535,
68884,,,,0.002,-0.007,0.018,0.010159225,-0.093050907,-0.000350803,-0.003333333,0,0,,,,,,
68885,,,,-0.011,-0.011,0.018,0.010159225,-0.093050907,-0.000350803,-0.003333333,0.001111111,-0.001111111,,,,,,
68886,,,,-0.004,-0.027,0.04,0.010036709,-0.092929019,-0.000344486,-0.002222222,-0.005555556,-0.001111111,,,,,,
68887,,,,0.01,-0.014,0.042,0.009914243,-0.092929068,-0.000338792,-0.001111111,-0.003333333,0.002222222,,,,,,
68888,,,,0.003,-0.009,0.03,0.009914243,-0.092929068,-0.000338792,-0.001111111,0,0.004444444,,,,,,
68889,,,,0,-0.018,0.042,0.009791776,-0.092929116,-0.000333097,-0.002222222,0,0.003333333,,,,,,
68890,,,,0.01,-0.026,0.041,0.00966931,-0.092929164,-0.000327403,0,-0.006666667,0,,,,,,
68891,,,,0.014,-0.005,0.024,0.00954689,-0.093051149,-0.000322294,0.005555556,0,0,,,,,,
68892,,,,-0.004,0.002,0.022,0.00954689,-0.093051149,-0.000322294,0.002222222,0.003333333,-0.001111111,,,,,,
68893,,,,-0.013,-0.009,0.039,0.009546843,-0.092929211,-0.000321709,0.003333333,0.001111111,-0.001111111,,,,,,
68894,-4.32E-06,9.82E-07,0.014,,,,,,,,,,,,,,,
68894,,,,,,,,,,,,,,,,31.2656055,34.7293535,
68894,,,,0.011,0.002,0.035,0.009546843,-0.092929211,-0.000321709,0.002222222,-0.002222222,0.001111111,,,,,,
68895,,,,0.008,0.004,0.018,0.009546843,-0.092929211,-0.000321709,0.003333333,0,0.003333333,,,,,,
68896,,,,0,-0.003,0.026,0.009546843,-0.092929211,-0.000321709,0.002222222,-0.001111111,0.006666667,,,,,,
68897,,,,-0.003,-0.015,0.043,0.009546843,-0.092929211,-0.000321709,0.002222222,-0.002222222,0.004444444,,,,,,
68898,,,,0.015,-0.002,0.04,0.009546843,-0.092929211,-0.000321709,0.008888889,-0.004444444,0,,,,,,
68899,,,,0.004,0.009,0.025,0.009546843,-0.092929211,-0.000321709,0.006666667,0.002222222,0,,,,,,
68900,,,,-0.009,0.011,0.014,0.009546843,-0.092929211,-0.000321709,0.003333333,0.004444444,0,,,,,,
68901,,,,0.001,-0.001,0.041,0.009546843,-0.092929211,-0.000321709,0.004444444,0,-0.001111111,,,,,,
68902,,,,0.01,0.015,0.026,0.009546843,-0.092929211,-0.000321709,0.003333333,-0.002222222,0.004444444,,,,,,
68903,,,,0.004,0.006,0.022,0.009546843,-0.092929211,-0.000321709,0.004444444,0,0.003333333,,,,,,
68904,-4.30E-06,9.98E-07,0.0085,,,,,,,,,,,,,,,
68904,,,,,,,,,,,,,,,,31.26560567,34.72935367,
68904,,,,-0.005,-0.001,0.037,0.009546843,-0.092929211,-0.000321709,0.002222222,-0.002222222,0.001111111,,,,,,
68905,,,,0.004,-0.009,0.036,0.009546843,-0.092929211,-0.000321709,0.003333333,-0.005555556,0,,,,,,
68906,,,,0.012,0.009,0.022,0.009546843,-0.092929211,-0.000321709,0.005555556,-0.001111111,-0.001111111,,,,,,
68907,,,,0.001,0.022,0.021,0.00966931,-0.092929164,-0.000327403,0.004444444,0,0,,,,,,
68908,,,,-0.002,-0.003,0.046,0.00966931,-0.092929164,-0.000327403,0.003333333,-0.001111111,0,,,,,,
68909,,,,0.011,0.009,0.037,0.00966931,-0.092929164,-0.000327403,0.003333333,-0.005555556,0,,,,,,
68910,,,,0.012,0.02,0.014,0.009669357,-0.093051102,-0.000327996,0.003333333,0,0.001111111,,,,,,
68911,,,,-0.002,0.01,0.037,0.009791824,-0.093051054,-0.000333698,0,0,0.002222222,,,,,,
68912,,,,0.003,-0.004,0.047,0.009791824,-0.093051054,-0.000333698,0,-0.002222222,0.001111111,,,,,,
68913,,,,0.013,0.013,0.042,0.009791824,-0.093051054,-0.000333698,0.002222222,-0.004444444,0,,,,,,
68914,,,,0.015,0.03,0.029,0.009914292,-0.093051006,-0.0003394,0,0,0,,,,,,
68914,-4.30E-06,9.98E-07,0.007,,,,,,,,,,,,,,,
68914,,,,,,,,,,,,,,,,31.26560567,34.72935367,
68915,,,,-0.008,0.011,0.023,0.009914292,-0.093051006,-0.0003394,-0.003333333,0.001111111,-0.003333333,,,,,,
68916,,,,-0.002,-0.003,0.036,0.009914292,-0.093051006,-0.0003394,-0.001111111,-0.001111111,-0.001111111,,,,,,
68917,,,,0.005,0.011,0.031,0.009914292,-0.093051006,-0.0003394,-0.002222222,-0.001111111,0.001111111,,,,,,
68918,,,,-0.008,0.004,0.029,0.010036759,-0.093050956,-0.000345102,-0.002222222,0,0,,,,,,
68919,,,,-0.01,-0.008,0.042,0.010036759,-0.093050956,-0.000345102,-0.005555556,-0.003333333,0,,,,,,
68920,,,,0.001,-0.013,0.043,0.009914292,-0.093051006,-0.0003394,0,-0.005555556,0,,,,,,
68921,,,,0.013,0.002,0.03,0.009914292,-0.093051006,-0.0003394,0,0,0,,,,,,
68922,,,,-0.008,0.007,0.024,0.009914292,-0.093051006,-0.0003394,0,0,-0.001111111,,,,,,
68923,,,,-0.01,-0.009,0.038,0.009914243,-0.092929068,-0.000338792,-0.001111111,-0.005555556,-0.001111111,,,,,,
68924,-4.30E-06,9.98E-07,0.0135,,,,,,,,,,,,,,,
68924,,,,,,,,,,,,,,,,31.26560567,34.72935367,
68924,,,,0.002,-0.003,0.046,0.009914243,-0.092929068,-0.000338792,0,-0.008888889,0.002222222,,,,,,
68925,,,,0.007,0.009,0.014,0.009914243,-0.092929068,-0.000338792,0,0,0.003333333,,,,,,
68926,,,,0,0.008,0.029,0.009914243,-0.092929068,-0.000338792,0,-0.001111111,0.003333333,,,,,,
68927,,,,0,-0.01,0.041,0.009914243,-0.092929068,-0.000338792,0,-0.005555556,0.001111111,,,,,,
68928,,,,0.013,0.012,0.031,0.009914243,-0.092929068,-0.000338792,0,-0.004444444,0.001111111,,,,,,
68929,,,,0.006,0.019,0.024,0.010036709,-0.092929019,-0.000344486,0,0,0,,,,,,
68930,,,,-0.006,0.011,0.021,0.010036709,-0.092929019,-0.000344486,-0.004444444,0.002222222,-0.002222222,,,,,,
68931,,,,-0.003,-0.008,0.033,0.010036709,-0.092929019,-0.000344486,-0.005555556,-0.002222222,0.002222222,,,,,,
68932,,,,0.01,0.004,0.029,0.010036709,-0.092929019,-0.000344486,-0.004444444,-0.002222222,0.004444444,,,,,,
68933,,,,0.003,0,0.025,0.010036709,-0.092929019,-0.000344486,-0.005555556,0.003333333,0.005555556,,,,,,
68934,-4.30E-06,9.98E-07,0.015,,,,,,,,,,,,,,,
68934,,,,,,,,,,,,,,,,31.26560567,34.72935367,
68934,,,,-0.006,-0.009,0.04,0.010036709,-0.092929019,-0.000344486,-0.002222222,-0.001111111,0.003333333,,,,,,
68935,,,,0.013,-0.012,0.034,0.010036709,-0.092929019,-0.000344486,-0.001111111,-0.006666667,0.002222222,,,,,,
68936,,,,0.016,0,0.026,0.010036759,-0.093050956,-0.000345102,0,-0.003333333,0,,,,,,
68937,,,,0.001,0.003,0.025,0.010036759,-0.093050956,-0.000345102,0,0,0,,,,,,
68938,,,,0.001,-0.012,0.044,0.010036759,-0.093050956,-0.000345102,-0.001111111,0,-0.001111111,,,,,,
